"line_item_product_code","line_item_usage_type"
"AMAZONROUTE53REGIONALCHINA","HostedZone"
"AMAZONROUTE53REGIONALCHINA","CNW1-Cidr-Blocks"
"AWSBackup","CNW1-WarmStorage-ByteHrs-EFS"
"AWSCloudTrail","CNN1-FreeEventsRecorded"
"AWSCloudTrail","CNW1-FreeEventsRecorded"
"AWSCloudTrail","CNW1-DataEventsRecorded"
"AWSCostExplorer","CNW1-APIRequest"
"AWSDataTransfer","CNN1-DataTransfer-In-Bytes"
"AWSDataTransfer","CNW1-CNN1-AWS-Out-Bytes"
"AWSDataTransfer","CNN1-DataTransfer-Out-Bytes"
"AWSDataTransfer","CNW1-CNN1-AWS-In-Bytes"
"AWSDataTransfer","CNW1-DataTransfer-In-Bytes"
"AWSDataTransfer","CNW1-CloudFront-Out-Bytes"
"AWSDataTransfer","CNW1-DataTransfer-xAZ-In-Bytes"
"AWSDataTransfer","CNW1-DataTransfer-Regional-Bytes"
"AWSDataTransfer","CNW1-DataTransfer-Out-Bytes"
"AWSDataTransfer","CNW1-CloudFront-In-Bytes"
"AWSDataTransfer","CNN1-CNW1-AWS-Out-Bytes"
"AWSDataTransfer","CNW1-DataTransfer-xAZ-Out-Bytes"
"AWSDirectoryService","CNW1-Std-MicrosoftAD-DC-Usage"
"AWSELB","CNW1-CNN1-AWS-Out-Bytes"
"AWSELB","CNW1-LoadBalancerUsage"
"AWSELB","CNW1-CloudFront-Out-Bytes"
"AWSELB","CNW1-CNN1-AWS-In-Bytes"
"AWSELB","CNW1-LCUUsage"
"AWSELB","CNW1-CloudFront-In-Bytes"
"AWSELB","CNW1-DataTransfer-xAZ-In-Bytes"
"AWSELB","CNW1-DataTransfer-Regional-Bytes"
"AWSELB","CNW1-DataTransfer-In-Bytes"
"AWSELB","CNW1-DataTransfer-Out-Bytes"
"AWSGlue","CNN1-Catalog-Storage"
"AWSGlue","CNW1-ETL-DPU-Hour"
"AWSGlue","CNW1-Catalog-Request"
"AWSGlue","CNW1-Catalog-Storage"
"AWSGlue","CNN1-Catalog-Request"
"AWSLambda","CNW1-DataTransfer-In-Bytes"
"AWSLambda","CNW1-DataTransfer-Out-Bytes"
"AWSLambda","CNW1-DataTransfer-xAZ-Out-Bytes"
"AWSLambda","CNW1-Lambda-Storage-GB-Second"
"AWSLambda","CNW1-Lambda-GB-Second"
"AWSLambda","CNW1-Request"
"AWSLambda","CNW1-CloudFront-Out-Bytes"
"AWSLambda","CNW1-CloudFront-In-Bytes"
"AWSLambda","CNW1-DataTransfer-Regional-Bytes"
"AWSLambda","CNW1-DataTransfer-xAZ-In-Bytes"
"AWSQueueService","CNW1-Requests-Tier1"
"AWSQueueService","CNN1-Requests-Tier1"
"AWSQueueService","CNW1-DataTransfer-Out-Bytes"
"AWSSecretsManager","CNW1-AWSSecretsManagerAPIRequest"
"AWSSecretsManager","CNN1-AWSSecretsManagerAPIRequest"
"AWSSecretsManager","CNW1-AWSSecretsManager-Secrets"
"AWSSecurityHub","CNW1-OtherProduct:PaidFindingsIngestion"
"AWSSecurityHub","CNW1-PaidComplianceCheck"
"AWSSupportBJSBusiness","Dollar"
"AWSSupportBJSBusiness",""
"AWSSupportBJSDeveloper",""
"AWSSupportBJSDeveloper","Dollar"
"AWSXRay","CNW1-XRay-TracesAccessed"
"AmazonApiGateway","CNW1-DataTransfer-Out-Bytes"
"AmazonApiGateway","CNW1-ApiGatewayRequest"
"AmazonApiGateway","CNW1-ApiGatewayHttpRequest"
"AmazonAthena","CNW1-DataScannedInTB"
"AmazonCloudFront","CN-Requests-HTTP-Proxy"
"AmazonCloudFront","CN-Requests-Tier2-HTTPS"
"AmazonCloudFront","CN-DataTransfer-Out-Bytes"
"AmazonCloudFront","CN-Requests-Tier1"
"AmazonCloudFront","CN-Requests-HTTPS-Proxy"
"AmazonCloudFront","CN-DataTransfer-Out-OBytes"
"AmazonCloudWatch","CNW1-DataScanned-Bytes"
"AmazonCloudWatch","CNW1-CW:MetricMonitorUsage"
"AmazonCloudWatch","CNN1-DashboardsUsageHour"
"AmazonCloudWatch","CNW1-CW:GMD-Metrics"
"AmazonCloudWatch","CNW1-CW:AlarmMonitorUsage"
"AmazonCloudWatch","CNN1-CW:Requests"
"AmazonCloudWatch","CNW1-VendedLog-Bytes"
"AmazonCloudWatch","CNN1-DashboardsUsageHour-Basic"
"AmazonCloudWatch","CNW1-CW:Requests"
"AmazonCloudWatch","CNW1-DataProcessing-Bytes"
"AmazonCloudWatch","CNW1-S3-Egress-Bytes"
"AmazonCloudWatch","CNW1-TimedStorage-ByteHrs"
"AmazonDynamoDB","CNW1-ReadCapacityUnit-Hrs"
"AmazonDynamoDB","CNW1-WriteCapacityUnit-Hrs"
"AmazonDynamoDB","CNW1-TimedStorage-ByteHrs"
"AmazonDynamoDB","CNW1-TimedPITRStorage-ByteHrs"
"AmazonEC2","CNW1-NatGateway-Hours"
"AmazonEC2","CNW1-CNN1-AWS-In-Bytes"
"AmazonEC2","CNW1-DataTransfer-Regional-Bytes"
"AmazonEC2","CNW1-DataTransfer-Out-Bytes"
"AmazonEC2","CNW1-EBS:VolumeUsage.gp3"
"AmazonEC2","CNW1-BoxUsage:t4g.micro"
"AmazonEC2","CNW1-EBSOptimized:m5.2xlarge"
"AmazonEC2","CNW1-EBSOptimized:m5.large"
"AmazonEC2","CNW1-EBSOptimized:c5.xlarge"
"AmazonEC2","CNW1-BoxUsage:m5.4xlarge"
"AmazonEC2","CNW1-EBSOptimized:c5.2xlarge"
"AmazonEC2","CNW1-EBSOptimized:m5.xlarge"
"AmazonEC2","CNW1-BoxUsage:m6g.4xlarge"
"AmazonEC2","CNW1-BoxUsage:m5.large"
"AmazonEC2","CNW1-EBSOptimized:m6g.2xlarge"
"AmazonEC2","CNW1-NatGateway-Bytes"
"AmazonEC2","CNW1-BoxUsage:m5.2xlarge"
"AmazonEC2","CNW1-SpotUsage:m6g.xlarge"
"AmazonEC2","CNW1-BoxUsage:r6g.2xlarge"
"AmazonEC2","CNW1-CloudFront-In-Bytes"
"AmazonEC2","CNW1-BoxUsage:c5.2xlarge"
"AmazonEC2","CNW1-HeavyUsage:m5.large"
"AmazonEC2","CNW1-BoxUsage:c5.4xlarge"
"AmazonEC2","CNW1-HeavyUsage:r6g.large"
"AmazonEC2","CNW1-CNN1-AWS-Out-Bytes"
"AmazonEC2","CNW1-EBS:VolumeUsage.piops"
"AmazonEC2","CNW1-DataTransfer-In-Bytes"
"AmazonEC2","CNW1-EBSOptimized:m6g.xlarge"
"AmazonEC2","CNW1-EBSOptimized:c5.4xlarge"
"AmazonEC2","CNW1-HeavyUsage:m6g.medium"
"AmazonEC2","CNW1-BoxUsage:r5.2xlarge"
"AmazonEC2","CNW1-HeavyUsage:c6i.8xlarge"
"AmazonEC2","CNW1-ElasticIP:IdleAddress"
"AmazonEC2","CNW1-EBSOptimized:r6g.2xlarge"
"AmazonEC2","CNW1-EBSOptimized:r5.xlarge"
"AmazonEC2","CNW1-ElasticIP:AdditionalAddress"
"AmazonEC2","CNW1-BoxUsage:c6g.xlarge"
"AmazonEC2","CNW1-BoxUsage:c6i.2xlarge"
"AmazonEC2","CNW1-HeavyUsage:t3.xlarge"
"AmazonEC2","CNW1-EBS:SnapshotUsage"
"AmazonEC2","CNW1-HeavyUsage:c5.4xlarge"
"AmazonEC2","CNW1-BoxUsage:t3.xlarge"
"AmazonEC2","CNW1-HeavyUsage:r5.large"
"AmazonEC2","CNW1-BoxUsage:t2.micro"
"AmazonEC2","CNW1-BoxUsage:t2.2xlarge"
"AmazonEC2","CNW1-EBSOptimized:m5.4xlarge"
"AmazonEC2","CNW1-BoxUsage:t2.medium"
"AmazonEC2","CNW1-BoxUsage:c6i.8xlarge"
"AmazonEC2","CNW1-SpotUsage:m6g.2xlarge"
"AmazonEC2","CNW1-BoxUsage:c5.xlarge"
"AmazonEC2","CNW1-CPUCredits:t3a"
"AmazonEC2","CNW1-EBSOptimized:r5.2xlarge"
"AmazonEC2","CNW1-EBSOptimized:c5.large"
"AmazonEC2","CNW1-EBSOptimized:t3a.medium"
"AmazonEC2","CNW1-BoxUsage:c6i.large"
"AmazonEC2","CNW1-DataTransfer-xAZ-In-Bytes"
"AmazonEC2","CNW1-EBS:VolumeP-Throughput.gp3"
"AmazonEC2","CNW1-BoxUsage:t3.medium"
"AmazonEC2","CNW1-EBS:VolumeP-IOPS.gp3"
"AmazonEC2","CNW1-HeavyUsage:m5.xlarge"
"AmazonEC2","CNW1-EBS:VolumeUsage.gp2"
"AmazonEC2","CNW1-HeavyUsage:c5.large"
"AmazonEC2","CNW1-BoxUsage:t3a.medium"
"AmazonEC2","CNW1-HeavyUsage:m6g.large"
"AmazonEC2","CNW1-BoxUsage:m6g.xlarge"
"AmazonEC2","CNW1-CPUCredits:t4g"
"AmazonEC2","CNW1-BoxUsage:m6g.2xlarge"
"AmazonEC2","CNW1-EBS:VolumeP-IOPS.piops"
"AmazonEC2","CNW1-BoxUsage:m5.xlarge"
"AmazonEC2","CNW1-HeavyUsage:m5.2xlarge"
"AmazonEC2","CNW1-DataTransfer-xAZ-Out-Bytes"
"AmazonEC2","CNW1-HeavyUsage:m5.4xlarge"
"AmazonEC2","CNW1-BoxUsage:t3.2xlarge"
"AmazonEC2","CNW1-BoxUsage:c5.large"
"AmazonEC2","CNW1-BoxUsage:t3.large"
"AmazonEC2","CNW1-CPUCredits:t3"
"AmazonEC2","CNW1-BoxUsage:r5.xlarge"
"AmazonEC2","CNW1-HeavyUsage:c5.2xlarge"
"AmazonEC2","CNW1-CloudFront-Out-Bytes"
"AmazonEC2","CNW1-BoxUsage:t4g.medium"
"AmazonEC2","CNW1-BoxUsage:t3.micro"
"AmazonECR","CNW1-TimedStorage-ByteHrs"
"AmazonECR","CNW1-DataTransfer-Out-Bytes"
"AmazonECS","CNW1-Fargate-GB-Hours"
"AmazonECS","CNW1-CloudFront-Out-Bytes"
"AmazonECS","CNW1-CloudFront-In-Bytes"
"AmazonECS","CNW1-DataTransfer-In-Bytes"
"AmazonECS","CNW1-Fargate-vCPU-Hours:perCPU"
"AmazonECS","CNW1-DataTransfer-Out-Bytes"
"AmazonECS","CNW1-DataTransfer-Regional-Bytes"
"AmazonEFS","CNW1-TimedStorage-ByteHrs"
"AmazonEFS","CNW1-IADataAccess-Bytes"
"AmazonEFS","CNN1-TimedStorage-ByteHrs"
"AmazonEFS","CNW1-IATimedStorage-ByteHrs"
"AmazonEKS","CNW1-AmazonEKS-Hours:perCluster"
"AmazonES","CNW1-ESInstance:r5.large"
"AmazonES","CNW1-ES:GP3-Storage"
"AmazonES","CNW1-ESInstance:r6g.large"
"AmazonES","CNW1-DataTransfer-Regional-Bytes"
"AmazonElastiCache","CNW1-HeavyUsage:cache.m6g.large"
"AmazonElastiCache","CNW1-NodeUsage:cache.m6g.large"
"AmazonElastiCache","CNW1-NodeUsage:cache.t4g.medium"
"AmazonElastiCache","CNW1-HeavyUsage:cache.t4g.medium"
"AmazonElastiCache","CNW1-ElastiCache:BackupUsage"
"AmazonGuardDuty","CNW1-PaidMalwareProtectionEBSDataScanned"
"AmazonGuardDuty","CNW1-PaidEventsAnalyzed-Bytes"
"AmazonGuardDuty","CNW1-PaidEventsAnalyzed"
"AmazonGuardDuty","CNW1-PaidKubernetesAuditLogsAnalyzed"
"AmazonNeptune","CNW1-StorageIOUsage"
"AmazonNeptune","CNW1-BackupUsage"
"AmazonNeptune","CNW1-InstanceUsage:db.r6g.large"
"AmazonNeptune","CNW1-StorageUsage"
"AmazonRDS","CNW1-Multi-AZUsage:db.m5.large"
"AmazonRDS","CNW1-Multi-AZUsage:db.m6g.large"
"AmazonRDS","CNW1-RDS:Multi-AZ-GP3-Storage"
"AmazonRDS","CNW1-InstanceUsage:db.m5.xl"
"AmazonRDS","CNW1-Multi-AZUsage:db.m6g.xl"
"AmazonRDS","CNW1-DataTransfer-Out-Bytes"
"AmazonRDS","CNW1-RDS:GP3-Storage"
"AmazonRDS","CNW1-Multi-AZUsage:db.m5.xl"
"AmazonRDS","CNW1-RDS:GP2-Storage"
"AmazonRDS","CNW1-InstanceUsage:db.t3.micro"
"AmazonRDS","CNW1-DataTransfer-xAZ-In-Bytes"
"AmazonRDS","CNW1-HeavyUsage:db.m5.xl"
"AmazonRDS","CNW1-InstanceUsage:db.m5.large"
"AmazonRDS","CNW1-HeavyUsage:db.m5.2xl"
"AmazonRDS","CNW1-DataTransfer-In-Bytes"
"AmazonRDS","CNW1-RDS:ChargedBackupUsage"
"AmazonRDS","CNW1-HeavyUsage:db.m5.large"
"AmazonRDS","CNW1-InstanceUsage:db.m6g.large"
"AmazonRDS","CNW1-RDS:Multi-AZ-GP2-Storage"
"AmazonS3","CNW1-Requests-Tier2"
"AmazonS3","CNW1-Requests-Tier4"
"AmazonS3","CNW1-CNN1-AWS-Out-Bytes"
"AmazonS3","CNW1-TimedStorage-GDA-Staging"
"AmazonS3","CNW1-TimedStorage-INT-AIA-ByteHrs"
"AmazonS3","CNW1-TimedStorage-ByteHrs"
"AmazonS3","CNW1-TimedStorage-INT-IA-ByteHrs"
"AmazonS3","CNN1-Requests-Tier1"
"AmazonS3","CNW1-TimedStorage-INT-FA-ByteHrs"
"AmazonS3","CNW1-Requests-Tier1"
"AmazonS3","CNN1-DataTransfer-Out-Bytes"
"AmazonS3","CNW1-StorageAnalytics-ObjCount"
"AmazonS3","CNN1-Requests-Tier2"
"AmazonS3","CNW1-DataTransfer-Out-Bytes"
"AmazonS3","CNW1-StorageLensFreeTier-ObjCount"
"AmazonS3","CNN1-TimedStorage-ByteHrs"
"AmazonS3","CNN1-DataTransfer-In-Bytes"
"AmazonS3","CNW1-Monitoring-Automation-INT"
"AmazonS3","CNW1-Requests-INT-Tier2"
"AmazonS3","CNN1-CNW1-AWS-Out-Bytes"
"AmazonS3","CNW1-CNN1-AWS-In-Bytes"
"AmazonS3","CNW1-Requests-GDA-Tier1"
"AmazonS3","CNW1-DataTransfer-In-Bytes"
"AmazonS3","CNW1-TimedStorage-GDA-ByteHrs"
"AmazonS3","CNW1-Requests-GDA-Tier2"
"AmazonS3GlacierDeepArchive","CNW1-TimedStorage-GDA-ByteHrs"
"AmazonS3GlacierDeepArchive","CNW1-Requests-GDA-Tier1"
"AmazonSNS","CNN1-Requests-Tier1"
"AmazonSNS","CNW1-DataTransfer-In-Bytes"
"AmazonSNS","CNW1-DeliveryAttempts-SMTP"
"AmazonSNS","CNW1-Requests-Tier1"
"AmazonSNS","CNW1-DataTransfer-Out-Bytes"
"AmazonSageMaker","CNW1-Host:ml.g4dn.12xlarge"
"AmazonSageMaker","CNW1-Hst:Data-Bytes-In"
"AmazonSageMaker","CNW1-Notebk:ml.t3.medium"
"AmazonSageMaker","CNW1-Host:ml.g4dn.2xlarge"
"AmazonSageMaker","CNW1-Notebk:ml.m5.xlarge"
"AmazonSageMaker","CNW1-Hst:Data-Bytes-Out"
"AmazonSageMaker","CNW1-Host:ml.g4dn.xlarge"
"AmazonSageMaker","CNW1-Notebk:VolumeUsage.gp2"
"AmazonStates","CNW1-DataTransfer-Out-Bytes"
"AmazonStates","CNW1-DataTransfer-In-Bytes"
"AmazonVPC","CNW1-CloudFront-Out-Bytes"
"AmazonVPC","CNW1-CNN1-AWS-Out-Bytes"
"AmazonVPC","CNW1-VpcEndpoint-GWLBE-Hours"
"AmazonVPC","CNW1-DataTransfer-Out-Bytes"
"AmazonVPC","CNW1-PublicIPv4:InUseAddress"
"AmazonVPC","CNW1-TransitGateway-Hours"
"AmazonVPC","CNW1-DataTransfer-xAZ-Out-Bytes"
"AmazonVPC","CNW1-VpcEndpoint-GWLBE-Bytes"
"AmazonVPC","CNW1-PublicIPv4:IdleAddress"
"AmazonVPC","CNW1-VpcEndpoint-Hours"
"AmazonVPC","CNW1-VpcEndpoint-Bytes"
"AmazonVPC","CNW1-DataTransfer-In-Bytes"
"AmazonVPC","CNW1-DataTransfer-xAZ-In-Bytes"
"AmazonVPC","CNW1-CloudFront-In-Bytes"
"AmazonVPC","CNW1-CNN1-AWS-In-Bytes"
"AmazonVPC","CNW1-DataTransfer-Regional-Bytes"
"AmazonVPC","CNW1-TransitGateway-Bytes"
"ComputeSavingsPlans","CNW1-ComputeSP:1yrNoUpfront"
"ComputeSavingsPlans","CNW1-ComputeSP:3yrNoUpfront"
"ElasticMapReduce","CNW1-BoxUsage:m6g.xlarge"
"ElasticMapReduce","CNW1-BoxUsage:r6g.2xlarge"
"ElasticMapReduce","CNW1-BoxUsage:m5.2xlarge"
"ElasticMapReduce","CNW1-BoxUsage:m6g.4xlarge"
"ElasticMapReduce","CNW1-BoxUsage:m5.xlarge"
"ElasticMapReduce","CNW1-BoxUsage:m6g.2xlarge"
"awskms","cn-northwest-1-KMS-Requests"
"awskms","cn-north-1-KMS-Requests"
"awskms","cn-northwest-1-KMS-Keys"
"awswaf","CNW1-WebACLV2"
"awswaf","CNW1-RuleV2"
"awswaf","CNW1-RequestV2-Tier1"
